epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.8249532066088414,74.0506329113924,0.5765883553041872,82.90993071593533,0.0009999383779245895
2,0.604985400763425,81.47871116225546,0.5612729785004609,83.37182448036951,0.000999753526902683
3,0.5199238764128559,83.88377445339471,0.5766392370156823,82.77136258660508,0.0009994454925435043
4,0.48402621522460076,84.98273878020713,0.48307094123842537,85.635103926097,0.000999014350849922
5,0.4485935079831934,86.32336018411968,0.4605636585254317,86.83602771362587,0.0009984602081996978
6,0.42603175143515143,86.75489067894131,0.6247871271526015,81.52424942263279,0.0009977832013192388
7,0.4191575890992124,87.0253164556962,0.4478665922998556,86.83602771362587,0.0009969834972498627
8,0.3878884508759984,87.90563866513233,0.44630021199274283,86.78983833718245,0.000996061293306582
9,0.3714208269764008,88.45799769850403,0.4488379832469013,86.60508083140877,0.0009950168170294207
10,0.3631202687602597,88.82623705408515,0.41649119313677246,87.9445727482679,0.0009938503261272716
11,0.3497039652597781,89.00460299194476,0.4404989305083526,86.51270207852194,0.0009925621084143099
12,0.3313737593565492,89.56846950517837,0.44612620829434646,87.06697459584295,0.0009911524817389804
13,0.32285786326653115,89.8331415420023,0.41325895412896024,88.45265588914549,0.0009896217939055723
14,0.3096763228451012,90.28768699654776,0.41790246478611,88.03695150115473,0.0009879704225884047
15,0.2965942137534928,90.50632911392405,0.41040620486538076,88.03695150115473,0.0009861987752386398
16,0.29595124572001064,90.512082853855,0.43654540034213185,87.6674364896074,0.0009843072889837514
17,0.277856193086769,91.24856156501725,0.4091109914571804,87.29792147806005,0.0009822964305196704
18,0.26528282840452205,91.5650172612198,0.42046885902006137,88.68360277136259,0.0009801666959956333
19,0.2654413987701315,91.38665132336018,0.41461937136380284,87.75981524249423,0.0009779186108917661
20,0.26073819305940654,91.59378596087457,0.4175028794098809,87.57505773672055,0.0009755527298894296
21,0.24802496205539507,92.13463751438435,0.391954252254605,89.2378752886836,0.0009730696367343592
22,0.2401828526078763,92.23820483314154,0.3867082982756387,88.77598152424942,0.0009704699440926359
23,0.235866913878465,92.37054085155351,0.4461064929293155,87.6674364896074,0.0009677542933995191
24,0.22416858358953848,92.45109321058688,0.4174190757611194,88.49884526558891,0.0009649233547011819
25,0.22315227420544048,92.80207134637514,0.4020257122246828,88.86836027713626,0.000961977826489388
26,0.22157881790804232,92.77330264672037,0.4074857064813169,87.57505773672055,0.0009589184355291488
27,0.2125866630546517,92.9344073647871,0.4281870875189266,87.99076212471131,0.0009557459366794051
28,0.20443444294539914,93.27387802071347,0.43612581556856495,87.57505773672055,0.000952461112706777
29,0.19376907664146467,93.72842347525892,0.4030539145508209,88.91454965357968,0.0009490647740924278
